,SDO_ID,Longitude,Latitude
403,2429,9.569639,53.989745
404,164,13.99082,53.031558
405,2410,11.536237,48.711152
406,3987,13.062229,52.381287
407,3319,9.253031,49.764389
408,656,10.602109,51.723383
409,7298,9.042461,54.526755
410,3254,7.317629,52.715579
411,4501,10.769332,50.654562
412,6157,8.080849,53.641047
413,2039,10.569851,51.900249
414,953,7.054249,49.761875
415,1766,7.696854,52.13437
416,4709,7.59812,49.99959
417,4371,8.752053,52.104207
418,4032,11.131995,51.795344
419,853,12.871977,50.791286
420,5029,7.038521,49.473727
421,5797,12.432937,50.68786
422,2575,9.979985,49.180406
423,1639,8.643902,50.601713
424,1358,12.953506,50.428346
425,4160,8.923969,48.742509
426,5279,9.57491,51.61941
427,4559,12.617494,49.16435
428,5906,8.558461,49.506241
429,1803,12.32378,54.071372
430,6158,10.608435,49.224749
431,191,9.911391,49.969403
432,1200,9.010547,54.069146
433,1587,11.428929,48.948116
434,4466,9.548666,54.527539
435,2951,11.486414,53.100708
436,2773,11.901613,49.428333
437,701,8.576089,53.53321
438,3730,10.275881,47.398429
439,1691,9.950659,51.500248
440,3034,11.63497,50.450456
441,5014,8.985687,53.275827
442,7428,10.815607,50.41672
443,603,7.204023,50.729254
444,3340,7.806121,50.438264
445,3098,7.642497,51.245158
446,1605,12.160084,52.387515
447,7330,7.97797,51.46332
448,7364,12.305347,51.681752
449,1255,8.852289,49.166448
450,917,8.677906,49.880895
451,3402,9.483693,48.385066
452,3527,9.40498,50.89228
453,4104,12.101943,49.042482
454,4931,9.223535,48.688307
455,183,13.434416,54.679109
456,5404,11.694552,48.402404
457,13674,8.905286,49.294262
458,5109,13.3039,53.5997
459,7370,12.683802,49.390952
460,1161,11.23488,48.877749
461,2907,8.951446,54.790294
462,880,14.316811,51.775983
463,2559,10.334797,47.723259
464,5745,13.326781,52.966353
465,3484,11.2147,48.7086
466,769,9.088939,52.281732
467,896,10.861875,51.077772
468,3631,7.151923,53.712304
469,5335,10.548421,50.896257
470,7367,9.80717,51.964331
471,2211,7.652755,50.737065
472,2497,6.526408,50.50141
473,5426,8.121238,49.37579
474,5347,9.111774,51.50392
475,4642,11.729697,52.891136
476,257,8.245738,48.726985
477,954,7.458717,54.179583
478,7329,12.2863,50.5467
479,2812,7.827986,48.364742
480,2171,9.737694,50.851957
481,4177,8.330074,48.972621
482,5541,8.31695,50.13202
483,4706,13.027276,48.271797
484,6260,9.704008,49.33275
485,2796,12.278987,53.915597
486,6346,11.203508,48.206984
487,282,10.920558,49.874252
488,1736,10.679686,53.573115
489,410,13.730854,52.404034
490,2023,10.706234,48.791834
491,5516,11.060556,54.528292
492,3158,14.545212,52.546827
493,3147,12.217916,48.772515
494,102,8.1275,53.86333
495,5822,8.698827,52.86304
496,3857,10.38923,47.636179
497,2323,9.495274,51.85294
498,3289,11.783769,50.728119
499,5676,10.689225,52.396186
500,161,7.420171,50.423657
501,1300,8.15653,51.25399
502,3939,7.5879,49.191191
503,3623,6.660172,50.829376
504,2704,12.009351,51.751087
505,222,12.713873,50.590826
506,13696,7.404843,51.596642
507,15555,10.584889,47.876124
508,379,11.266503,50.907431
509,1792,7.481475,52.755257
510,1886,10.260783,48.487813
511,96,12.851826,52.943711
512,4813,11.046648,50.080557
513,5688,8.10572,47.700344
514,19172,9.387966,54.0246
